Date,Username,Komen,Label
8/7/2022 14:29,Tikaaaa,"Efek vaksin booster selain nyeri, pusing dan panas dingin, ternyata bikin beser juga ya",0
8/7/2022 14:34,ً,gue dapet tiket vaksin booster kaya dapet duit sejuta,1
8/7/2022 14:35,Anez : jastag 📌,"sumpah tadi vaksin booster, terus sorenya mandi tiba-tiba meriang sampe sekarang ya allah, adekku juga ",1
8/7/2022 14:41,uzf.,Abis vaksin booster tangan kiri jadi keram seharian,1
8/7/2022 14:42,dew.,"Pegal banget, pusing, mual sumpah ga enak ih vaksin booster",0
8/7/2022 14:49,kook_peaches⁷ 🍑 ||🐥🐰,@missufe Aku mau dong buat besok sarapan sebelum vaksin booster.,1
8/7/2022 14:50,🍃Lina🍃,Selamat malam semuanya. rehat dulu besok mau Vaksin Booster ,1
8/7/2022 14:50,Igi Negara,"Tangan kaku banget ya Allah, efek vaksin booster kah?",1
8/7/2022 15:00,💭,ini undangan vaksin booster bukan? berarti aku udah bisa vaksin ya? https://t.co/eIzYcPOsLw,1
8/7/2022 15:02,ً,@convomfs Iya. Kamu udah bisa vaksin booster!,1
8/7/2022 15:04,—y u s s,"kemarin habis darah rendah masih pusing trs hari ini vaksin booster lanjut kerja lembur sampe malem, mantap",1
8/7/2022 15:06,Rei,Yang udah booster/vaksin ketiga boleh kasih tau testinya ada efek apa ga.,1
8/7/2022 15:08,🇺🇲❤️🇺🇦❤️🇷🇺,Apakah tempat kerja kalian sudah mewajibkan vaksin booster?,1
8/7/2022 15:08,𝓁𝒾𝓈𝒶,Pengen vaksin booster ah minggu depan,1
8/7/2022 15:09,Angkasa,Beberapa fakta mengungkap bahwa mengawali pagi dengan mood adalah vaksin keempat setelah booster. Hanya saja tanpa jarum tetapi bahagia itu pilihan dan bukan paksaan. https://t.co/7UUQEgyZIU,1
8/7/2022 15:11,ajew anjay,@oreonomin vaksin booster itu ke berapa?,1
8/7/2022 15:15,BUNAnya RenRen👶,Keknya blm Nemu vaksin booster moderna gue..soalnya gue keknya mo make moderna lagi ga lucu kan 1&2 vaksinnya moderna ke 3 nya sinovac,1
8/7/2022 15:33,jelin yg asli ada podongnya lg rbuy,malem malem ceramahin temen yang udah duluan vaksin booster https://t.co/6yUHhjgNCh,1
8/7/2022 15:39,𝓒𝓪𝓵𝓵𝓲𝓷' me ay,"Besok aku mau vaksin booster, sakit gak ya?",1
8/7/2022 15:40,Mifta,"@radenrauf Badan sama pikiran capek, tambah tangan nyeri tadi siang baru vaksin booster. Dah sekarang nggak bisa tidur besok masih kerja pagi ",0
8/7/2022 15:41,☆*:･NAD 。,sebel banget deh makin lama dapet vaksin booster kan kalau gini caranya,0
8/7/2022 15:47,cuma bisa Kadita🧜🏻‍♀️,Siap vaksin booster efeknya bisa makin disayang ayang gak?,1
8/7/2022 15:52,✞,"Pagi mau vaksin booster, malemnya booster otak dulu wkwk asli goblok anying https://t.co/U6TTkp7B7f",0
8/7/2022 15:57,Ginger,RT @SyedAkramin: Ambil vaksin dan booster. Kuarantin wajib sudah tak efektif sebab ramai tidak patuh arahan. Ada syarat yang potong gaji,1
