,Hasil,Label
0,efek vaksin booster nyeri pusing panas dingin bikin beser ya,0
1,gue tiket vaksin booster kayak duit juta,1
2,sumpah vaksin booster sore mandi tibatiba meriang ya allah adekku,1
3,habis vaksin booster tangan kiri keram hari,1
4,pegal banget pusing mual sumpah enak ih vaksin booster,0
5,besok sarap vaksin booster,1
6,selamat malam rehat besok vaksin booster,1
7,tangan kaku banget ya allah efek vaksin booster kah,1
8,undang vaksin booster vaksin ya,1
9,iya vaksin booster,1
10,kemarin habis darah rendah pusing vaksin booster kerja lembur malam mantap,1
11,boostervaksin tiga kasih tau testimoninya efek,1
12,kerja wajib vaksin booster,1
13,pengin vaksin booster ah minggu,1
14,fakta ungkap awal pagi mood vaksin empat booster jarum bahagia pilih paksa,1
15,vaksin booster,1
16,kayak nemu vaksin booster moderna gue gue kayak pakai moderna lucu vaksin moderna nya sinovac,1
17,malam malam ceramahin teman duluan vaksin booster,1
18,besok vaksin booster sakit ya,1
19,badan pikir capek tangan nyeri siang vaksin booster deh tidur besok kerja pagi,0
20,sebel banget deh vaksin booster,0
21,vaksin booster efek sayang ayang,1
22,pagi vaksin booster malemnya booster otak wkwk asli goblok anying,0
23,ambil vaksin booster kuarantin wajib efektif ramai patuh arah syarat potong gaji,1
24,beli makan kucing habis ongkos jakarta vaksin booster amin,1
25,bagus loh kampus kemarin numpang vaksin booster sana keliling tamantamannya cakep,1
26,sakitin gapapa vaksin kali plus booster hehe,1
27,tangan habis vaksin booster bengkak,1
28,aaa besok vaksin booster moga antri biar cepat,1
29,harap undi lupa covid antibody turun lepas vaksin ramai ambil booster,1
30,booster pakai astra zeneca respon kali vaksin,1
31,booster pfizer masyaallah tabarokallah habis vaksin gel malam tangan sakit dilurusin tiga mending,1
32,hei omg gue lupa besok vaksin booster aaaa malesss,1
33,vaksin booster astra akibat mual muntah,1
34,sadar gue vaksin booster wkwk vaksin bekas,1
35,badan gemetar kayak gegara efek booster vaksin kemarin tidur deh,1
36,vaksin booster mantap banget efek woi asa banget,1
37,takut ih besok gue vaksin booster,1
38,selamat tidur lupa vaksin booster,1
39,meriang banget badan gue efek vaksin booster huhu,0
40,habis vaksin booster puji tuhan demam gel and sakit punggung,0
