,Date,Username,Komen,Label,clean,case_folding,Tokenizing,Stopword,Hasil
0,8/7/2022 14:29,Tikaaaa,"Efek vaksin booster selain nyeri, pusing dan panas dingin, ternyata bikin beser juga ya",0,Efek vaksin booster selain nyeri pusing dan panas dingin ternyata bikin beser juga ya,efek vaksin booster selain nyeri pusing dan panas dingin ternyata bikin beser juga ya,"['efek', 'vaksin', 'booster', 'selain', 'nyeri', 'pusing', 'dan', 'panas', 'dingin', 'ternyata', 'bikin', 'beser', 'juga', 'ya']","['efek', 'vaksin', 'booster', 'nyeri', 'pusing', 'panas', 'dingin', 'bikin', 'beser', 'ya']",efek vaksin booster nyeri pusing panas dingin bikin beser ya
1,8/7/2022 14:34,ً,gue dapet tiket vaksin booster kaya dapet duit sejuta,1,gue dapet tiket vaksin booster kaya dapet duit sejuta,gue dapet tiket vaksin booster kaya dapet duit sejuta,"['gue', 'dapat', 'tiket', 'vaksin', 'booster', 'kayak', 'dapat', 'duit', 'sejuta']","['gue', 'tiket', 'vaksin', 'booster', 'kayak', 'duit', 'sejuta']",gue tiket vaksin booster kayak duit juta
2,8/7/2022 14:35,Anez : jastag 📌,"sumpah tadi vaksin booster, terus sorenya mandi tiba-tiba meriang sampe sekarang ya allah, adekku juga ",1,sumpah tadi vaksin booster terus sorenya mandi tibatiba meriang sampe sekarang ya allah adekku juga,sumpah tadi vaksin booster terus sorenya mandi tibatiba meriang sampe sekarang ya allah adekku juga,"['sumpah', 'tadi', 'vaksin', 'booster', 'terus', 'sorenya', 'mandi', 'tibatiba', 'meriang', 'sampai', 'sekarang', 'ya', 'allah', 'adekku', 'juga']","['sumpah', 'vaksin', 'booster', 'sorenya', 'mandi', 'tibatiba', 'meriang', 'ya', 'allah', 'adekku']",sumpah vaksin booster sore mandi tibatiba meriang ya allah adekku
3,8/7/2022 14:41,uzf.,Abis vaksin booster tangan kiri jadi keram seharian,1,Abis vaksin booster tangan kiri jadi keram seharian,abis vaksin booster tangan kiri jadi keram seharian,"['habis', 'vaksin', 'booster', 'tangan', 'kiri', 'jadi', 'keram', 'seharian']","['habis', 'vaksin', 'booster', 'tangan', 'kiri', 'keram', 'seharian']",habis vaksin booster tangan kiri keram hari
4,8/7/2022 14:42,dew.,"Pegal banget, pusing, mual sumpah ga enak ih vaksin booster",0,Pegal banget pusing mual sumpah ga enak ih vaksin booster,pegal banget pusing mual sumpah ga enak ih vaksin booster,"['pegal', 'banget', 'pusing', 'mual', 'sumpah', 'enggak', 'enak', 'ih', 'vaksin', 'booster']","['pegal', 'banget', 'pusing', 'mual', 'sumpah', 'enak', 'ih', 'vaksin', 'booster']",pegal banget pusing mual sumpah enak ih vaksin booster
5,8/7/2022 14:49,kook_peaches⁷ 🍑 ||🐥🐰,@missufe Aku mau dong buat besok sarapan sebelum vaksin booster.,1,Aku mau dong buat besok sarapan sebelum vaksin booster,aku mau dong buat besok sarapan sebelum vaksin booster,"['aku', 'mau', 'dong', 'buat', 'besok', 'sarapan', 'sebelum', 'vaksin', 'booster']","['besok', 'sarapan', 'vaksin', 'booster']",besok sarap vaksin booster
6,8/7/2022 14:50,🍃Lina🍃,Selamat malam semuanya. rehat dulu besok mau Vaksin Booster ,1,Selamat malam semuanya rehat dulu besok mau Vaksin Booster,selamat malam semuanya rehat dulu besok mau vaksin booster,"['selamat', 'malam', 'semuanya', 'rehat', 'dulu', 'besok', 'mau', 'vaksin', 'booster']","['selamat', 'malam', 'rehat', 'besok', 'vaksin', 'booster']",selamat malam rehat besok vaksin booster
7,8/7/2022 14:50,Igi Negara,"Tangan kaku banget ya Allah, efek vaksin booster kah?",1,Tangan kaku banget ya Allah efek vaksin booster kah,tangan kaku banget ya allah efek vaksin booster kah,"['tangan', 'kaku', 'banget', 'ya', 'allah', 'efek', 'vaksin', 'booster', 'kah']","['tangan', 'kaku', 'banget', 'ya', 'allah', 'efek', 'vaksin', 'booster', 'kah']",tangan kaku banget ya allah efek vaksin booster kah
8,8/7/2022 15:00,💭,ini undangan vaksin booster bukan? berarti aku udah bisa vaksin ya? https://t.co/eIzYcPOsLw,1,ini undangan vaksin booster bukan berarti aku udah bisa vaksin ya,ini undangan vaksin booster bukan berarti aku udah bisa vaksin ya,"['ini', 'undangan', 'vaksin', 'booster', 'bukan', 'berarti', 'aku', 'sudah', 'bisa', 'vaksin', 'ya']","['undangan', 'vaksin', 'booster', 'vaksin', 'ya']",undang vaksin booster vaksin ya
9,8/7/2022 15:02,ً,@convomfs Iya. Kamu udah bisa vaksin booster!,1,Iya Kamu udah bisa vaksin booster,iya kamu udah bisa vaksin booster,"['iya', 'kamu', 'sudah', 'bisa', 'vaksin', 'booster']","['iya', 'vaksin', 'booster']",iya vaksin booster
10,8/7/2022 15:04,—y u s s,"kemarin habis darah rendah masih pusing trs hari ini vaksin booster lanjut kerja lembur sampe malem, mantap",1,kemarin habis darah rendah masih pusing trs hari ini vaksin booster lanjut kerja lembur sampe malem mantap,kemarin habis darah rendah masih pusing trs hari ini vaksin booster lanjut kerja lembur sampe malem mantap,"['kemarin', 'habis', 'darah', 'rendah', 'masih', 'pusing', 'terus', 'hari', 'ini', 'vaksin', 'booster', 'lanjut', 'kerja', 'lembur', 'sampai', 'malam', 'mantap']","['kemarin', 'habis', 'darah', 'rendah', 'pusing', 'vaksin', 'booster', 'kerja', 'lembur', 'malam', 'mantap']",kemarin habis darah rendah pusing vaksin booster kerja lembur malam mantap
11,8/7/2022 15:06,Rei,Yang udah booster/vaksin ketiga boleh kasih tau testinya ada efek apa ga.,1,Yang udah boostervaksin ketiga boleh kasih tau testinya ada efek apa ga,yang udah boostervaksin ketiga boleh kasih tau testinya ada efek apa ga,"['yang', 'sudah', 'boostervaksin', 'ketiga', 'boleh', 'kasih', 'tau', 'testimoninya', 'ada', 'efek', 'apa', 'enggak']","['boostervaksin', 'ketiga', 'kasih', 'tau', 'testimoninya', 'efek']",boostervaksin tiga kasih tau testimoninya efek
12,8/7/2022 15:08,🇺🇲❤️🇺🇦❤️🇷🇺,Apakah tempat kerja kalian sudah mewajibkan vaksin booster?,1,Apakah tempat kerja kalian sudah mewajibkan vaksin booster,apakah tempat kerja kalian sudah mewajibkan vaksin booster,"['apakah', 'tempat', 'kerja', 'kalian', 'sudah', 'mewajibkan', 'vaksin', 'booster']","['kerja', 'mewajibkan', 'vaksin', 'booster']",kerja wajib vaksin booster
13,8/7/2022 15:08,𝓁𝒾𝓈𝒶,Pengen vaksin booster ah minggu depan,1,Pengen vaksin booster ah minggu depan,pengen vaksin booster ah minggu depan,"['pengin', 'vaksin', 'booster', 'ah', 'minggu', 'depan']","['pengin', 'vaksin', 'booster', 'ah', 'minggu']",pengin vaksin booster ah minggu
14,8/7/2022 15:09,Angkasa,Beberapa fakta mengungkap bahwa mengawali pagi dengan mood adalah vaksin keempat setelah booster. Hanya saja tanpa jarum tetapi bahagia itu pilihan dan bukan paksaan. https://t.co/7UUQEgyZIU,1,Beberapa fakta mengungkap bahwa mengawali pagi dengan mood adalah vaksin keempat setelah booster Hanya saja tanpa jarum tetapi bahagia itu pilihan dan bukan paksaan,beberapa fakta mengungkap bahwa mengawali pagi dengan mood adalah vaksin keempat setelah booster hanya saja tanpa jarum tetapi bahagia itu pilihan dan bukan paksaan,"['beberapa', 'fakta', 'mengungkap', 'bahwa', 'mengawali', 'pagi', 'dengan', 'mood', 'adalah', 'vaksin', 'keempat', 'setelah', 'booster', 'hanya', 'saja', 'tanpa', 'jarum', 'tetapi', 'bahagia', 'itu', 'pilihan', 'dan', 'bukan', 'paksaan']","['fakta', 'mengungkap', 'mengawali', 'pagi', 'mood', 'vaksin', 'keempat', 'booster', 'jarum', 'bahagia', 'pilihan', 'paksaan']",fakta ungkap awal pagi mood vaksin empat booster jarum bahagia pilih paksa
15,8/7/2022 15:11,ajew anjay,@oreonomin vaksin booster itu ke berapa?,1,vaksin booster itu ke berapa,vaksin booster itu ke berapa,"['vaksin', 'booster', 'itu', 'ke', 'berapa']","['vaksin', 'booster']",vaksin booster
16,8/7/2022 15:15,BUNAnya RenRen👶,Keknya blm Nemu vaksin booster moderna gue..soalnya gue keknya mo make moderna lagi ga lucu kan 1&2 vaksinnya moderna ke 3 nya sinovac,1,Keknya blm Nemu vaksin booster moderna gue soalnya gue keknya mo make moderna lagi ga lucu kan  vaksinnya moderna ke nya sinovac,keknya blm nemu vaksin booster moderna gue soalnya gue keknya mo make moderna lagi ga lucu kan  vaksinnya moderna ke nya sinovac,"['kayaknya', 'belum', 'nemu', 'vaksin', 'booster', 'moderna', 'gue', 'soalnya', 'gue', 'kayaknya', 'mau', 'memakai', 'moderna', 'lagi', 'enggak', 'lucu', 'kan', 'vaksinnya', 'moderna', 'ke', 'nya', 'sinovac']","['kayaknya', 'nemu', 'vaksin', 'booster', 'moderna', 'gue', 'gue', 'kayaknya', 'memakai', 'moderna', 'lucu', 'vaksinnya', 'moderna', 'nya', 'sinovac']",kayak nemu vaksin booster moderna gue gue kayak pakai moderna lucu vaksin moderna nya sinovac
